,Titulo pelicula,ID,Tipo pelicula,Año,Genero
0,The Incorporated,56608,Movie,2000,Action
1,Heavy Metal 2000,56609,Movie,2000,Action
2,Mission: Impossible II,56610,Movie,2000,Action
3,Titan A.E.,56611,Movie,2000,Action
4,Foiled,56612,Movie,2000,Action
5,X-Men,56613,Movie,2000,Action
6,The Silent Force,56925,Movie,2001,Action
7,Blazin',56927,Movie,2001,Action
8,Driven,56928,Movie,2001,Action
9,Planet of the Apes,56929,Movie,2001,Action
10,The Ghost,56931,Movie,2001,Action
11,Lara Croft: Tomb Raider,56932,Movie,2001,Action
12,Camouflage,56933,Movie,2001,Action
13,Star Wars: Episode II - Attack of the Clones,57244,Movie,2002,Action
14,Resident Evil,57246,Movie,2002,Action
15,Spider-Man,57251,Movie,2002,Action
16,Last Fair Deal,57252,Movie,2002,Action
17,Terminator 3: Rise of the Machines,57567,Movie,2003,Action
18,Plastik Man,57568,Short,2003,Action
19,A Good Night to Die,57569,Movie,2003,Action
20,Den hemlige riddaren II: Återkomsten,57571,Movie,2003,Action
21,Road Dogs,57573,Movie,2003,Action
22,Split,57885,Movie,2004,Action
23,Hellboy,57887,Movie,2004,Action
24,Vampire Lesbian Kickboxers,57891,Movie,2004,Action
25,Anji,57892,Movie,2004,Action
26,Radius,57893,Short,2004,Action
27,Star Wars: Episode III - Revenge of the Sith,58204,Movie,2005,Action
28,Fantastic Four,58205,Movie,2005,Action
29,Striptease Baby Dolls from Cleveland Meet the Unkillables,58208,Movie,2005,Action
30,Wilson Chance,58209,Movie,2005,Action
31,Man-Thing,58211,Movie,2005,Action
32,The Sea Wolf,58212,Movie,2005,Action
33,Dark Assassin,58213,Movie,2005,Action
34,Mission: Impossible III,58527,Movie,2006,Action
35,The Drop,58528,Movie,2006,Action
36,Detroit,58529,Movie,2006,Action
37,Meteoro,58530,Movie,2006,Action
38,Superman Returns,58532,Movie,2006,Action
39,Ghost Rider,58844,Movie,2007,Action
40,Intergalactic Combat,58849,Movie,2007,Action
41,Die Hard 4.0,58850,Movie,2007,Action
42,The Chosen One,58851,Movie,2007,Action
43,D-War,58852,Movie,2007,Action
44,Harry Potter and the Order of the Phoenix,58853,Movie,2007,Action
45,Muhomatsu no issho,59164,Movie,2008,Action
46,The Flyboys,59167,Movie,2008,Action
47,Babylon A.D.,59168,Movie,2008,Action
48,The Red Baron,59169,Movie,2008,Action
49,Indiana Jones and the Kingdom of the Crystal Skull,59170,Movie,2008,Action
50,Iron Man,59171,Movie,2008,Action
51,Journey to the Center of the Earth,59172,Movie,2008,Action
52,Far Cry,59173,Movie,2008,Action
53,Whiteout,59487,Movie,2009,Action
54,Sterling: The Secret of the Lost Medallion,59488,Movie,2009,Action
55,Watchmen,59490,Movie,2009,Action
56,Harry Potter en de halfbloed prins,59491,Movie,2009,Action
57,Royal Kill,59493,Movie,2009,Action
58,Tekken,59806,Movie,2010,Action
59,The A-Team,59808,Movie,2010,Action
60,Segurança Nacional,59809,Movie,2010,Action
61,Taken by Force,59811,Movie,2010,Action
62,"Guns, Drugs and Dirty Money",59812,Movie,2010,Action
63,Komaram Puli,59813,Movie,2010,Action
64,Cowboys & Aliens,60126,Movie,2011,Action
65,Real Steel,60127,Movie,2011,Action
66,Captain America: The First Avenger,60128,Movie,2011,Action
67,Platinum Illusions,60129,Movie,2011,Action
68,The Mechanic,60130,Movie,2011,Action
69,Tower Heist,60131,Movie,2011,Action
70,Season of the Witch,60133,Movie,2011,Action
71,John Carter,60445,Movie,2012,Action
72,Clutch,60446,Movie,2012,Action
73,Red Tails,60447,Movie,2012,Action
74,Jack Reacher,60448,Movie,2012,Action
75,Gallowwalkers,60449,Movie,2012,Action
76,The Avengers,60450,Movie,2012,Action
77,The Sweeney,60451,Movie,2012,Action
78,Evangelion Shin Gekijôban: Kyu,60452,Movie,2012,Action
79,The Amazing Spider-Man 3D,60453,Movie,2012,Action
80,Prisoners of the Sun,60767,Movie,2013,Action
81,Man of Steel,60768,Movie,2013,Action
82,World War Z,60770,Movie,2013,Action
83,The Power of Few,60771,Movie,2013,Action
84,Epic,60772,Movie,2013,Action
85,Snitch,60773,Movie,2013,Action
86,Action Jackson,61086,Movie,2014,Action
87,The Equalizer,61087,Movie,2014,Action
88,Sin City: A Dame to Kill For,61088,Movie,2014,Action
89,Jersey Justice,61090,Movie,2014,Action
90,Dracula Untold,61091,Movie,2014,Action
91,Godzilla,61092,Movie,2014,Action
92,Electric Slide,61093,Movie,2014,Action
93,Jurassic World,61404,Movie,2015,Action
94,Oscar Buzz,61406,Short,2015,Action
